Time,FV
1861,26.7
1862,26.7
1863,26.7
1864,26.7
1865,26.7
1866,26.7
1867,26.7
1868,26.7
1869,26.7
1870,26.7
1871,26.7
1872,26.7
1873,26.7
1874,26.7
1875,26.7
1876,26.7
1877,26.7
1878,26.7
1879,27.2
1880,27.2
1881,27.2
1882,27.2
1883,27.2
1884,27.2
1885,27.2
1886,27.2
1887,27.2
1888,27.2
1889,27.2
1890,27.2
1891,27.2
1892,27.2
1893,27.2
1894,27.2
1895,27.2
1896,27.2
1897,27.2
1898,27.2
1899,27.2
1900,27.2
1901,27.2
1902,27.2
1903,27.2
1904,27.2
1905,27.2
1906,27.2
1907,27.8
1908,27.8
1909,27.8
1910,27.8
1911,27.8
1912,27.8
1913,27.8
1914,27.8
1915,27.8
1916,27.8
1917,27.8
1918,27.8
1919,27.8
1920,27.8
1921,27.8
1922,27.8
1923,27.8
1924,27.8
1925,27.8
1926,27.8
1927,28.1
1928,28.1
1929,28.1
1930,28.1
1931,28.1
1932,28.1
1933,28.1
1934,28.1
1935,28.1
1936,28.1
1937,28.1
1938,28.1
1939,28.1
1940,28.1
1941,28.1
1942,28.1
1943,28.1
1944,28.1
1945,28.1
1946,28.1
1947,28.1
1948,28.1
1949,28.1
1950,28.1
1951,28.1
1952,28.1
1953,28.1
1954,28.1
1955,28.1
1956,28.1
1957,28.1
1958,28.1
1959,28.1
1960,28.1
1961,28.1
1962,28.1
1963,28.1
1964,28.1
1965,28.1
1966,28.1
1967,28.1
1968,28.1
1969,28.1
1970,28.1
1971,28.1
1972,28.1
1973,28.1
1974,28.1
1975,28.1
1976,28.5
1977,28.5
1978,28.5
1979,28.5
1980,28.5
1981,28.5
1982,28.5
1983,28.5
1984,28.5
1985,28.5
1986,28.5
1987,28.5
1988,28.5
1989,28.5
1990,28.5
1991,28.5
1992,28.5
1993,28.5
1994,28.5
1995,28.5
1996,28.5
1997,28.5
1998,28.5
1999,28.5
2000,28.5
2001,28.5
2002,28.5
2003,28.5
2004,28.5
2005,28.5
2006,28.5
2007,28.5
2008,28.5
2009,28.5
2010,28.5
2011,28.5
2012,28.5
2013,28.5
2014,28.5
2015,28.5
2016,28.5
2017,28.5
2018,28.5
2019,28.5
2020,28.5
2021,27.8
2022,27.8
2023,27.8
2024,27.8
2025,27.8
2026,27.8
2027,27.8
2028,27.8
2029,27.8
2030,27.8
2031,27.8
2032,27.8
2033,27.8
2034,27.8
2035,27.8
2036,27.8
2037,27.8
2038,27.8
2039,27.8
2040,27.8
2041,27.8
2042,27.8
2043,27.8
2044,27.8
2045,27.8
2046,27.8
2047,27.8
2048,27.8
2049,27.8
2050,27.8
2051,27.8
2052,27.8
2053,27.8
2054,27.8
2055,27.8
2056,27.8
2057,27.8
2058,27.8
2059,27.8
2060,27.8
2061,27.8
2062,27.8
2063,27.8
2064,27.8
2065,27.8
2066,27.8
2067,28.5
2068,28.5
2069,28.5
2070,28.5
2071,28.5
2072,28.5
2073,28.5
2074,28.5
2075,28.5
2076,28.5
2077,28.5
2078,28.5
2079,28.5
2080,28.5
2081,28.5
2082,28.5
2083,28.5
2084,28.5
2085,28.5
2086,28.5
2087,28.5
2088,28.5
2089,28.5
2090,28.5
2091,28.5
2092,30.5
2093,30.5
2094,30.5
2095,30.5
2096,30.5
2097,30.5
2098,30.5
2099,30.5
2100,30.5
2101,30.5
2102,30.5
2103,30.5
2104,30.5
2105,30.5
2106,30.5
2107,30.5
2108,30.5
2109,30.5
2110,30.5
2111,30.5
2112,30.5
2113,30.5
2114,30.5
2115,30.5
2116,30.5
2117,30.5
2118,30.5
2119,30.5
2120,30.5
2121,30.5
2122,30.5
2123,30.5
2124,30.5
2125,30.5
2126,30.5
2127,30.5
2128,30.5
2129,30.5
2130,30.5
2131,30.5
2132,30.5
2133,30.5
2134,30.5
2135,30.5
2136,30.5
2137,30.5
2138,30.5
2139,30.5
2140,31.8
2141,31.8
2142,31.8
2143,31.8
2144,31.8
2145,31.8
2146,31.8
2147,31.8
2148,31.8
2149,31.8
2150,31.8
2151,31.8
2152,31.8
2153,31.8
2154,31.8
2155,31.8
2156,31.8
2157,31.8
2158,31.8
2159,31.8
2160,31.8
2161,31.8
2162,31.8
2163,31.8
2164,31.8
2165,31.8
2166,31.8
2167,31.8
2168,31.8
2169,31.8
2170,31.8
2171,31.8
2172,31.8
2173,31.8
2174,31.8
2175,31.8
2176,31.8
2177,31.8
2178,31.8
2179,36.4
2180,36.4
2181,36.4
2182,36.4
2183,36.4
2184,36.4
2185,36.4
2186,36.4
2187,36.4
2188,36.4
2189,36.4
2190,36.4
2191,36.4
2192,36.4
2193,37.1
2194,37.1
2195,37.1
2196,37.1
2197,37.1
2198,37.1
2199,37.1
2200,37.1
2201,37.1
2202,37.1
2203,37.1
2204,37.1
2205,37.1
2206,37.1
2207,37.1
2208,37.1
2209,37.1
2210,37.1
2211,37.1
